Pixel,mm,Value (Cnt)
289,-28.288,32.000
290,-28.278,8.000
291,-28.268,37.000
292,-28.259,2.000
293,-28.249,37.000
294,-28.239,3.000
295,-28.229,32.000
296,-28.219,4.000
297,-28.209,31.000
298,-28.198,9.000
299,-28.188,36.000
300,-28.178,10.000
301,-28.168,38.000
302,-28.158,0.000
303,-28.148,38.000
304,-28.138,7.000
305,-28.128,37.000
306,-28.118,8.000
307,-28.108,33.000
308,-28.098,7.000
309,-28.087,37.000
310,-28.077,1.000
311,-28.067,33.000
312,-28.058,6.000
313,-28.048,27.000
314,-28.038,0.000
315,-28.028,31.000
316,-28.018,2.000
317,-28.008,32.000
318,-27.998,6.000
319,-27.987,31.000
320,-27.977,8.000
321,-27.967,39.000
322,-27.957,7.000
323,-27.947,33.000
324,-27.937,3.000
325,-27.927,33.000
326,-27.917,10.000
327,-27.907,35.000
328,-27.897,6.000
329,-27.887,32.000
330,-27.876,6.000
331,-27.867,41.000
332,-27.857,0.000
333,-27.847,32.000
334,-27.837,14.000
335,-27.827,32.000
336,-27.817,12.000
337,-27.807,38.000
338,-27.797,4.000
339,-27.787,41.000
340,-27.777,3.000
341,-27.766,37.000
342,-27.756,10.000
343,-27.746,41.000
344,-27.736,2.000
345,-27.726,37.000
346,-27.716,9.000
347,-27.706,37.000
348,-27.696,10.000
349,-27.686,30.000
350,-27.676,9.000
351,-27.666,32.000
352,-27.656,13.000
353,-27.646,48.000
354,-27.636,6.000
355,-27.626,41.000
356,-27.616,6.000
357,-27.606,46.000
358,-27.596,4.000
359,-27.586,41.000
360,-27.576,12.000
361,-27.566,47.000
362,-27.555,8.000
363,-27.545,44.000
364,-27.535,7.000
365,-27.525,55.000
366,-27.515,8.000
367,-27.505,44.000
368,-27.495,0.000
369,-27.485,43.000
370,-27.475,7.000
371,-27.465,36.000
372,-27.465,38.000
373,-27.455,7.000
374,-27.445,33.000
375,-27.435,6.000
376,-27.425,41.000
377,-27.415,0.000
378,-27.405,38.000
379,-27.395,3.000
380,-27.385,42.000
381,-27.375,6.000
382,-27.365,37.000
383,-27.354,0.000
384,-27.344,42.000
385,-27.334,4.000
386,-27.324,43.000
387,-27.314,3.000
388,-27.304,44.000
389,-27.294,7.000
390,-27.284,40.000
391,-27.274,9.000
392,-27.264,43.000
393,-27.255,9.000
394,-27.244,32.000
395,-27.234,2.000
396,-27.224,40.000
397,-27.214,3.000
398,-27.204,46.000
399,-27.194,3.000
400,-27.184,49.000
401,-27.174,7.000
402,-27.164,37.000
403,-27.154,15.000
404,-27.143,42.000
405,-27.133,6.000
406,-27.123,33.000
407,-27.113,4.000
408,-27.103,40.000
409,-27.093,12.000
410,-27.083,38.000
411,-27.073,13.000
412,-27.063,42.000
413,-27.054,4.000
414,-27.044,38.000
415,-27.033,2.000
416,-27.023,46.000
417,-27.013,10.000
418,-27.003,48.000
419,-26.993,14.000
420,-26.983,49.000
421,-26.973,6.000
422,-26.963,44.000
423,-26.953,12.000
424,-26.943,43.000
425,-26.932,1.000
426,-26.922,40.000
427,-26.912,8.000
428,-26.902,38.000
429,-26.892,6.000
430,-26.882,46.000
431,-26.872,23.000
432,-26.862,31.000
433,-26.853,0.000
434,-26.843,34.000
435,-26.833,12.000
436,-26.822,47.000
437,-26.812,0.000
438,-26.802,44.000
439,-26.792,4.000
440,-26.782,42.000
441,-26.772,7.000
442,-26.762,35.000
443,-26.752,15.000
444,-26.742,32.000
445,-26.732,4.000
446,-26.722,37.000
447,-26.711,11.000
448,-26.701,34.000
449,-26.691,1.000
450,-26.681,37.000
451,-26.671,13.000
452,-26.661,32.000
453,-26.652,9.000
454,-26.642,42.000
455,-26.632,7.000
456,-26.622,34.000
457,-26.611,6.000
458,-26.601,41.000
459,-26.591,6.000
460,-26.581,46.000
461,-26.571,7.000
462,-26.561,41.000
463,-26.551,15.000
464,-26.541,43.000
465,-26.531,15.000
466,-26.521,34.000
467,-26.511,15.000
468,-26.500,42.000
469,-26.490,6.000
470,-26.480,38.000
471,-26.470,19.000
472,-26.460,44.000
473,-26.451,13.000
474,-26.441,42.000
475,-26.431,31.000
476,-26.421,40.000
477,-26.411,11.000
478,-26.400,47.000
479,-26.390,4.000
480,-26.380,46.000
481,-26.370,15.000
482,-26.360,36.000
483,-26.350,15.000
484,-26.340,40.000
485,-26.330,14.000
486,-26.320,45.000
487,-26.310,0.000
488,-26.300,34.000
489,-26.289,11.000
490,-26.279,48.000
491,-26.269,20.000
492,-26.259,46.000
493,-26.250,15.000
494,-26.240,40.000
495,-26.230,0.000
496,-26.220,37.000
497,-26.210,20.000
498,-26.200,41.000
499,-26.190,0.000
500,-26.179,43.000
501,-26.169,4.000
502,-26.159,37.000
503,-26.149,3.000
504,-26.139,43.000
505,-26.129,13.000
506,-26.119,36.000
507,-26.109,15.000
508,-26.099,29.000
509,-26.089,1.000
510,-26.078,47.000
511,-26.068,1.000
512,-26.058,49.000
513,-26.049,9.000
514,-26.039,35.000
515,-26.029,10.000
516,-26.019,44.000
517,-26.009,18.000
518,-25.999,53.000
519,-25.989,2.000
520,-25.979,31.000
521,-25.968,8.000
522,-25.958,32.000
523,-25.948,13.000
524,-25.938,37.000
525,-25.928,7.000
526,-25.918,49.000
527,-25.908,6.000
528,-25.898,36.000
529,-25.888,9.000
530,-25.878,45.000
531,-25.868,11.000
532,-25.857,52.000
533,-25.848,9.000
534,-25.838,42.000
535,-25.828,6.000
536,-25.818,41.000
537,-25.808,18.000
538,-25.798,35.000
539,-25.788,2.000
540,-25.778,41.000
541,-25.768,18.000
542,-25.757,34.000
543,-25.747,17.000
544,-25.737,38.000
545,-25.727,4.000
546,-25.717,48.000
547,-25.707,15.000
548,-25.697,41.000
549,-25.687,14.000
550,-25.677,28.000
551,-25.667,4.000
552,-25.657,48.000
553,-25.647,8.000
554,-25.637,51.000
555,-25.627,7.000
556,-25.617,32.000
557,-25.607,14.000
558,-25.597,47.000
559,-25.587,13.000
560,-25.577,37.000
561,-25.567,9.000
562,-25.557,46.000
563,-25.546,9.000
564,-25.536,37.000
565,-25.526,12.000
566,-25.516,42.000
567,-25.506,7.000
568,-25.496,47.000
569,-25.486,11.000
570,-25.476,43.000
571,-25.466,13.000
572,-25.456,30.000
573,-25.446,6.000
574,-25.436,35.000
575,-25.426,0.000
576,-25.416,53.000
577,-25.406,17.000
578,-25.396,35.000
579,-25.386,7.000
580,-25.376,28.000
